seed,mode,output_events,total_realized_deliveries,posthoc_blocked_outputs,deliveries_from_posthoc_blocked_outputs
404000,no_gate,36,73,15,33
404000,recursive_audit,22,0,22,0
404001,no_gate,6,12,5,9
404001,recursive_audit,22,2,18,0
404002,no_gate,8,18,5,13
404002,recursive_audit,22,0,22,0
404003,no_gate,4,8,4,8
404003,recursive_audit,22,0,22,0
404004,no_gate,2,4,1,3
404004,recursive_audit,22,4,20,3
404005,no_gate,4,8,3,7
404005,recursive_audit,22,0,20,0
404006,no_gate,6,13,6,13
404006,recursive_audit,22,0,21,0
404007,no_gate,3,8,3,8
404007,recursive_audit,2,0,2,0
404008,no_gate,20,34,13,26
404008,recursive_audit,22,2,20,1
404009,no_gate,2,4,2,4
404009,recursive_audit,22,0,22,0
404010,no_gate,7,14,4,9
404010,recursive_audit,22,0,13,0
404011,no_gate,7,14,6,12
404011,recursive_audit,22,0,21,0
404012,no_gate,5,13,2,6
404012,recursive_audit,22,0,13,0
404013,no_gate,8,15,5,11
404013,recursive_audit,22,0,22,0
404014,no_gate,1,3,1,3
404014,recursive_audit,22,0,20,0
404015,no_gate,23,49,9,21
404015,recursive_audit,22,0,22,0
404016,no_gate,1,3,1,3
404016,recursive_audit,22,0,18,0
404017,no_gate,2,4,1,3
404017,recursive_audit,22,1,21,0
404018,no_gate,21,39,5,12
404018,recursive_audit,22,1,19,0
404019,no_gate,2,6,2,6
404019,recursive_audit,22,0,22,0
404020,no_gate,7,14,6,12
404020,recursive_audit,22,0,14,0
404021,no_gate,1,3,1,3
404021,recursive_audit,1,0,1,0
404022,no_gate,1,3,1,3
404022,recursive_audit,22,0,21,0
404023,no_gate,3,5,3,5
404023,recursive_audit,22,0,17,0
404024,no_gate,5,10,5,10
404024,recursive_audit,22,0,21,0
404025,no_gate,3,8,3,8
404025,recursive_audit,22,0,17,0
404026,no_gate,2,5,2,5
404026,recursive_audit,22,0,21,0
404027,no_gate,2,4,2,4
404027,recursive_audit,22,1,21,0
404028,no_gate,4,6,4,6
404028,recursive_audit,22,0,15,0
404029,no_gate,7,12,6,11
404029,recursive_audit,22,0,16,0
404030,no_gate,6,12,6,12
404030,recursive_audit,22,0,22,0
404031,no_gate,1,3,1,3
404031,recursive_audit,22,0,22,0
404032,no_gate,3,6,3,6
404032,recursive_audit,22,0,17,0
404033,no_gate,17,31,12,23
404033,recursive_audit,22,0,20,0
404034,no_gate,2,4,2,4
404034,recursive_audit,22,2,20,0
404035,no_gate,4,7,3,6
404035,recursive_audit,22,3,19,0
404036,no_gate,5,10,5,10
404036,recursive_audit,22,0,22,0
404037,no_gate,6,11,5,10
404037,recursive_audit,22,0,21,0
404038,no_gate,2,4,2,4
404038,recursive_audit,14,0,11,0
404039,no_gate,4,8,4,8
404039,recursive_audit,22,0,21,0
404040,no_gate,1,3,1,3
404040,recursive_audit,22,0,22,0
404041,no_gate,9,20,8,17
404041,recursive_audit,22,0,15,0
404042,no_gate,8,19,8,19
404042,recursive_audit,22,0,22,0
404043,no_gate,11,19,9,16
404043,recursive_audit,22,3,19,0
404044,no_gate,2,6,2,6
404044,recursive_audit,22,1,21,0
404045,no_gate,13,31,6,15
404045,recursive_audit,22,0,21,0
404046,no_gate,1,3,0,0
404046,recursive_audit,22,3,18,0
404047,no_gate,1,3,1,3
404047,recursive_audit,22,0,21,0
