feedback_observations,mean_model_error,median_model_error,p10_model_error,p90_model_error
0,0.18664352504792622,0.19423883382603527,0.1436619325354695,0.23238364950567486
10,0.15762244388472754,0.1507964809965342,0.09230627137795089,0.24929587223008273
20,0.13544442722798947,0.1338868257769694,0.06596798194075623,0.19792569581667582
30,0.11549396687338594,0.10891653578169644,0.06828705122694372,0.164857698649168
40,0.10805445183208212,0.11233960843272506,0.055896123118698605,0.1516628296934068
50,0.09992477000058474,0.09833377998011808,0.05366045814876756,0.14444454522803427
60,0.0920334911950631,0.08702370877005158,0.06108399285003541,0.13094348903160008
70,0.08896662905975244,0.08459206444770098,0.05621747693419458,0.1255189357995987
80,0.08567248183328452,0.08321862257934279,0.05343969915641682,0.11786822163355018
90,0.08193171016452834,0.07980620759725571,0.053400390226393944,0.1093150461576879
100,0.07988945565972773,0.07599411930550229,0.050481290844692425,0.10941990873319182
110,0.07631924509625726,0.0771258346972366,0.041849834368874586,0.10326440360148743
120,0.07342751677241176,0.07267534493067516,0.041349118982656634,0.1023390386927013
